Mandarin,English
的,of
我,I
你,you
了,Over
是,Yes
在,exist
他,he
我们,us
不,Do not
吗,do you
好,it is good
什么,what
有,Have
就,At once
吧,Bar
她,she
这,this
知道,knowledge
说,Say
都,All
去,go
很,very
啊,what
要,want
也,and also
他们,them
和,and
那,That
想,think
人,people
会,meeting
一个,one
来,Come
把,Bundle
对,right
没有,No
做,Do
不是,no
让,let
给,give
you,you
可以,Can
你们,you
呢,Woolen cloth
但,but
到,arrive
还,return
现在,Now
the,the
这个,this
能,can
怎么,how
就是,that is
跟,and
如果,if
没,No
它,it
走,go
上,superior
得,have to
被,quilt
这里,here
这样,so
个,indivual
看,Look
事,thing
自己,Own
着,Be
谁,Who
过,Pass
不会,Won't
告诉,Tell
为什么,why
不能,cannot
真的,real
先生,gentlemen
只是,only
不要,don't want
这是,This is
已经,already
再,Again
哦,Oh
需要,need
因为,because
谢谢,thanks
像,picture
这么,so
可能,possible
但是,but
那个,that
所以,so
喜欢,like
又,again
叫,Call
快,quick
我要,I want
觉得,feel
别,do not
听,listen
找,Find
里,inside
还有,besides
时候,when
东西,thing
等,Wait
死,die
多,many
从,From
我会,I will
一起,Together
应该,should
我們,us
这些,These
请,Please
孩子,child
看到,See
一下,one time
那么,So
为,for
而,and
您,you
才,talent
用,use
还是,still is
嗯,Ok
问题,question
工作,Work
一样,Same
呀,ah
开始,start
吃,eat
嘿,Hey
当,when
真,real
中,middle
然后,Then
看看,have a look
說,Say
地方,place
一定,must
将,Will
希望,hope
朋友,friend
今天,today
拿,take
一,one
啦,La
事情,matter
一直,Always
所有,all
找到,turn up
什麼,what
哪,where
当然,certainly
们,People
回来,return
不想,In no mood
更,Even
最,most
帮,help
没事,fine
只,Only
那些,Those ones
可,Can
明白,clear
的话,if
爸爸,dad
下,Down
太,too
离开,leave
一切,everything
时间,time
相信,Believe
妈妈,Mother
想要,want to
爱,Love
发生,occur
打,beat
点,point
來,Come
钱,money
大,Big
起来,stand up
真是,Really
你好,Hello
抱歉,Feel sorry
必须,must
认为,think
一点,a little
非常,Very
那里,There
对不起,Sorry
天,sky
也许,Maybe
大家,Everyone
哪里,where
有人,Someone
该,Should
意思,mean
杀,kill
准备,Prepare
并,and
出来,come out
与,and
时,Time
不过,but
一些,Some
为了,for
带,bring
女人,woman
这儿,here
后,back
只有,only
过来,come over
比,Compare
一次,once
得到,get
и,bleak
很多,a lot of
任何,any
这种,This
小,Small
怎么样,How about it
對,right
感觉,Feel
年,year
是不是,Yes or no
以为,Think
而且,and
前,forward
生活,Life
男人,man
之前,Before
喂,Hey
问,ask
发现,Find
噢,Oh
可是,But
快点,hurry up
嗨,Hi
妈,mom
两个,two
不用,Need not
地,land
向,Towards
名字,name
没错,Right
见,See
世界,world
沒,No
记得,Remember
住,live
新,new
不错,good
肯定,affim
最好,most
不行,no
等等,and many more
嘛,Well
出去,go out
么,What's wrong?
先,First
為,for
亲爱,dear
或,or
他們,them
担心,Worry
如何,how
到底,in the end
有点,A bit
最后,At last
小姐,Miss
上帝,God
认识,know
